INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.366,,,,,,,,,f,1,0.782,,0,2,2,118,1,Orange is a color,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.366,,,,,,,,,f,1,3.661,,0,3,3,38,1,Numerical intervals cannot always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.435,,,,,,,,,f,1,1.898,,0,4,4,49,1,Space is infinite,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.417,,,,,,,,,j,1,1.663,,0,5,5,91,1,Gravity has a molecular structure,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.301,,,,,,,,,j,1,3.402,,0,6,6,46,1,Time cannot always be further divided,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.35,,,,,,,,,f,1,1.731,,0,7,7,100,1,Pollen has a molecular structure,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.467,,,,,,,,,f,1,1.065,,0,8,8,72,1,Crocodiles are alive,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.401,,,,,,,,,j,1,2.53,,0,9,9,54,1,Space cannot always be further divided,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.419,,,,,,,,,j,1,1.198,,0,10,10,85,1,Sailboats reproduce,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.351,,,,,,,,,j,0,3.365,,0,11,11,22,1,Intervals of time cannot always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.3,,,,,,,,,j,0,2.463,,0,12,12,20,1,Intervals of time cannot go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.5,,,,,,,,,f,1,1.098,,0,13,13,122,1,A clock is used to tell time,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.467,,,,,,,,,f,1,1.732,,0,14,14,57,1,Numbers are infinite,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.37,,,,,,,,,j,1,2.231,,0,15,15,87,1,Color can be put in a container,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.351,,,,,,,,,j,1,0.998,,0,16,16,134,1,A triangle is an animal,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.417,,,,,,,,,f,1,2.066,,0,17,17,66,1,Five has an end,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.385,,,,,,,,,f,1,3.033,,0,18,18,16,1,Intervals of time can be finite,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.416,,,,,,,,,j,1,1.714,,0,19,19,132,1,This sentence is written in Spanish,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.383,,,,,,,,,j,1,1.498,,0,20,20,102,1,Hammers are alive,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.385,,,,,,,,,j,1,1.115,,0,21,21,82,1,Clocks are alive,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.535,,,,,,,,,f,1,1.131,,0,22,22,51,1,Space is endless,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.403,,,,,,,,,j,1,1.73,,0,23,23,62,1,Numbers cannot always be further divided,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.584,,,,,,,,,j,0,1.663,,0,24,24,36,1,Numerical intervals cannot go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.384,,,,,,,,,j,1,1.63,,0,25,25,88,1,Echoes are composed of matter,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.469,,,,,,,,,f,1,1.3,,0,26,26,121,1,Humans can eat food,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.4,,,,,,,,,f,1,1.981,,0,27,27,15,1,An inch can be always further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.383,,,,,,,,,f,1,1.498,,0,28,28,10,1,An inch has an end,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.484,,,,,,,,,f,1,2.651,,0,29,29,12,1,An inch cannot go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.884,,,,,,,,,j,1,1.948,,0,30,30,58,1,Numbers have an end,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.469,,,,,,,,,f,1,0.998,,0,31,31,75,1,Tigers reproduce,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.467,,,,,,,,,f,1,1.566,,0,32,32,78,1,Dumbells are composed of matter,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.65,,,,,,,,,f,1,1.598,,0,33,33,79,1,Concrete is composed of matter,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.418,,,,,,,,,f,1,2.249,,0,34,34,21,1,Intervals of time can go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.284,,,,,,,,,f,1,2.648,,0,35,35,71,1,Five can always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.434,,,,,,,,,f,1,4.197,,0,36,36,31,1,Spatial intervals can always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.417,,,,,,,,,j,1,1.399,,0,37,37,44,1,Time cannot go on forever,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.387,,,,,,,,,f,1,2.014,,0,38,38,61,1,Numbers can go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.366,,,,,,,,,f,1,2.716,,0,39,39,0,1,A minute is finite,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,1.516,,,,,,,,,f,1,1.067,space,0,40,40,126,1,The Earth is a planet,f,2.751,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.7,,,,,,,,,j,1,0.984,,0,41,41,86,1,Helicopters reproduce,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.35,,,,,,,,,j,1,0.931,,0,42,42,103,1,Forks are alive,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.734,,,,,,,,,j,0,1.897,,0,43,43,30,1,Spatial intervals cannot always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.385,,,,,,,,,f,1,1.148,,0,44,44,45,1,Time can go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.284,,,,,,,,,j,1,1.614,,0,45,45,136,1,Dinosaurs are not extinct,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.384,,,,,,,,,f,1,1.666,,0,46,46,94,1,Grass needs nutrients,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.384,,,,,,,,,f,1,0.966,,0,47,47,74,1,Turtles need nutrients,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.384,,,,,,,,,f,1,2.247,,0,48,48,24,1,Spatial intervals can be finite,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.366,,,,,,,,,j,1,0.965,,0,49,49,146,1,The Earth is a star,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.367,,,,,,,,,f,1,1.614,,0,50,50,63,1,Numbers can always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.334,,,,,,,,,j,1,1.217,,0,51,51,83,1,Comets are alive,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.334,,,,,,,,,f,1,1.148,,0,52,52,129,1,There are fifty states in the United States,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.317,,,,,,,,,j,1,1.583,,0,53,53,50,1,Space has an end,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.25,,,,,,,,,j,1,1.949,,0,54,54,145,1,Jupiter is the planet we live on,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.301,,,,,,,,,j,1,1.947,,0,55,55,111,1,Dreams have a molecular structure,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.517,,,,,,,,,f,1,2.231,,0,56,56,32,1,Numerical intervals can be finite,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.337,,,,,,,,,f,1,0.998,,0,57,57,73,1,Pelicans are alive,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.283,,,,,,,,,j,1,0.898,,0,58,58,105,1,Tables reproduce,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.251,,,,,,,,,j,1,0.967,,0,59,59,137,1,Magenta is a shape,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.201,,,,,,,,,j,1,1.764,,0,60,60,14,1,An inch cannot always be further divided,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.284,,,,,,,,,f,1,2.181,,0,61,61,35,1,Numerical intervals can be endless,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.201,,,,,,,,,f,1,1.316,,0,62,62,53,1,Space can go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.217,,,,,,,,,j,1,2.048,,0,63,63,9,1,An inch is infinite,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.184,,,,,,,,,j,1,1.517,,0,64,64,150,1,Humans can breathe water,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.268,,,,,,,,,f,1,1.015,,0,65,65,76,1,Frogs reproduce,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.251,,,,,,,,,j,1,2.867,,0,66,66,140,1,Humans can breathe water,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.216,,,,,,,,,j,1,1.498,,0,67,67,90,1,Music has a molecular structure,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.267,,,,,,,,,f,1,1.517,,0,68,68,123,1,A motorcycle is a vehicle,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.817,,,,,,,,,,0,,,0,69,69,3,1,A minute is endless,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.236,,,,,,,,,f,1,1.416,,0,70,70,125,1,Jupiter is in our solar system,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.217,,,,,,,,,j,1,1.733,,0,71,71,143,1,A motorcycle is a person,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.2,,,,,,,,,j,1,1.631,,0,72,72,141,1,Humans cannot eat food,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.217,,,,,,,,,f,1,1.432,,0,73,73,92,1,Algae is alive,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.27,,,,,,,,,j,0,1.697,,0,74,74,68,1,Five cannot go on forever,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.217,,,,,,,,,j,1,1.597,,0,75,75,108,1,Silence is composed of matter,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.201,,,,,,,,,f,1,2.415,,0,76,76,18,1,Intervals of time can have an end,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.267,,,,,,,,,f,1,1.563,,0,77,77,55,1,Space can always be further divided,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.218,,,,,,,,,j,1,1.849,,0,78,78,67,1,Five is endless,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.217,,,,,,,,,f,1,2.365,,0,79,79,43,1,Time is endless,f,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,space,0.217,,,,,,,,,j,1,1.482,,0,80,80,110,1,Words have a molecular structure,j,,,
,,,,,,,9630,2022-03-08_20h53.37.935,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,55.55555556,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.145
