INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.168800003,,,,,,,,,,,f,1,1.994400002,,0,4,4,40,1,The number five is finite,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.245700001,,,,,,,,,,,f,1,0.999200001,,0,5,5,107,1,A pencil is used to write,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.168700001,,,,,,,,,,,f,1,0.9215,,0,6,6,27,1,Space is endless,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.255700001,,,,,,,,,,,f,1,1.583400002,,0,7,7,92,1,Dinosaurs are extinct,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.2655,,,,,,,,,,,f,1,2.901200001,,0,8,8,93,1,Magenta is a color,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.422900002,,,,,,,,,,,f,1,3.487300003,,0,9,9,49,1,Pelicans are alive,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.920400002,,,,,,,,,,,j,0,1.163700001,,0,10,10,74,1,Foam is composed of matter,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.333200001,,,,,,,,,,,,0,,,0,11,11,55,1,Concrete is composed of matter,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.334099998,,,,,,,,,,,f,0,3.744100002,,0,12,12,34,1,Numbers have an end,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.409099998,,,,,,,,,,,f,0,1.761299999,,0,13,13,115,1,Yellow is an animal,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.421,,,,,,,,,,,f,0,2.581700001,,0,14,14,86,1,Words have a molecular structure,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.500400002,,,,,,,,,,,j,1,2.6565,,0,15,15,22,1,Time cannot always be further divided,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.4085,,,,,,,,,,,f,1,0.9985,,0,16,16,77,1,Saliva has a molecular structure,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.411399998,,,,,,,,,,,j,1,0.995799999,,0,17,17,120,1,A truck is an animal,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.424600002,,,,,,,,,,,j,0,2.248599998,,0,18,18,33,1,Numbers are infinite,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.421600002,,,,,,,,,,,f,1,1.251599998,,0,19,19,31,1,Space can always be further divided,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.424199997,,,,,,,,,,,j,0,0.6635,,0,20,20,54,1,Dumbells are composed of matter,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.409,,,,,,,,,,,f,1,1.739,,0,21,21,101,1,Jupiter is in our solar system,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.422799999,,,,,,,,,,,f,1,0.921299999,,0,22,22,70,1,Grass needs nutrients,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.410899998,,,,,,,,,,,j,1,1.575,,0,23,23,123,1,Mississippi is a country,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.497899998,,,,,,,,,,,j,0,3.411400002,,0,24,24,12,1,An inch cannot go on forever,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.413700001,,,,,,,,,,,j,1,1.518400002,,0,25,25,1,1,A minute is infinite,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,1.585600002,,,,,,,,,,,,0,,,0,26,26,78,1,Hammers are alive,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.4115,,,,,,,,,,,f,0,0.411700001,,0,27,27,118,1,A horse is used to tell time,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.410299999,,,,,,,,,,,j,1,0.999700001,,0,28,28,59,1,Comets are alive,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.4235,,,,,,,,,,,f,0,0.755099998,,0,29,29,67,1,Gravity has a molecular structure,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.500399998,,,,,,,,,,,j,1,0.576,,0,30,30,45,1,The number five can go on forever,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.411700001,,,,,,,,,,,f,0,0.411900002,,0,31,31,3,1,A minute is endless,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.422,,,,,,,,,,,j,0,2.014400002,,0,32,32,104,1,The United States has a president,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.326299999,,,,,,,,,,,f,1,0.840299999,,0,33,33,7,1,A minute can always be further divided,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.423800003,,,,,,,,,,,j,1,2.248200001,,0,34,34,16,1,Time is finite,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.3325,,,,,,,,,,,j,1,3.565700001,,0,35,35,113,1,Magenta is a shape,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.334900002,,,,,,,,,,,j,1,2.493,,0,36,36,46,1,The number five cannot always be further divided,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.495200001,,,,,,,,,,,f,1,1.849799999,,0,37,37,53,1,Bricks can be put in a container,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.167,,,,,,,,,,,f,0,1.917700001,,0,38,38,112,1,Dinosaurs are not extinct,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.252600002,,,,,,,,,,,f,1,1.587299999,,0,39,39,35,1,Numbers are endless,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.591299999,,,,,,,,,,,,0,,space,0,40,40,18,1,Time has an end,j,3.3205,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.498400002,,,,,,,,,,,f,1,1.429600002,,0,41,41,69,1,Bacteria are alive,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,1.586400002,,,,,,,,,,,f,0,0.753599998,,0,42,42,36,1,Numbers cannot go on forever,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.499400002,,,,,,,,,,,j,1,0.496599998,,0,43,43,122,1,The Earth is a star,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.4165,,,,,,,,,,,f,1,1.574900002,,0,44,44,48,1,Crocodiles are alive,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.409099998,,,,,,,,,,,j,1,1.4085,,0,45,45,111,1,A circle is a flavor,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.335200001,,,,,,,,,,,f,0,3.324700001,,0,46,46,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.332799999,,,,,,,,,,,j,1,1.762700001,,0,47,47,80,1,Mittens need nutrients,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.421899998,,,,,,,,,,,j,1,2.5825,,0,48,48,114,1,Lightbulbs are made of clay,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.333,,,,,,,,,,,f,0,0.831,,0,49,49,62,1,Helicopters reproduce,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.424800003,,,,,,,,,,,f,0,1.584200001,,0,50,50,13,1,An inch can go on forever,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.5015,,,,,,,,,,,j,0,1.328200001,,0,51,51,19,1,Time is endless,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.422700001,,,,,,,,,,,f,0,0.587200001,,0,52,52,124,1,The president of the United States is Oprah,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.497899998,,,,,,,,,,,j,0,1.405,,0,53,53,71,1,Oaks reproduce,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.423100002,,,,,,,,,,,f,1,0.755400002,,0,54,54,91,1,A circle is a shape,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.243600002,,,,,,,,,,,f,1,0.409599998,,0,55,55,50,1,Turtles need nutrients,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.743700001,,,,,,,,,,,,0,,,0,56,56,63,1,Color can be put in a container,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.255700001,,,,,,,,,,,f,1,0.423,,0,57,57,73,1,Bubbles can be put in a container,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.833199997,,,,,,,,,,,j,1,0.664700001,,0,58,58,125,1,There are ninty states in the United States,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.421700001,,,,,,,,,,,f,1,1.085599998,,0,59,59,8,1,An inch is finite,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.422599998,,,,,,,,,,,f,1,0.832299999,,0,60,60,106,1,Humans cannot breathe water,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.419299999,,,,,,,,,,,j,1,1.498200001,,0,61,61,11,1,An inch is endless,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.420700001,,,,,,,,,,,j,1,3.489099998,,0,62,62,6,1,A minute cannot always be further divided,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.409399998,,,,,,,,,,,f,1,2.069799999,,0,63,63,72,1,Mushrooms reproduce,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.090299999,,,,,,,,,,,f,1,1.087299999,,0,64,64,39,1,Numbers can always be further divided,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.1675,,,,,,,,,,,f,0,0.167600002,,0,65,65,41,1,The number five is infinite,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.409100002,,,,,,,,,,,j,1,0.000799999,,0,66,66,26,1,Space has an end,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.333200001,,,,,,,,,,,f,0,0.3325,,0,67,67,126,1,Humans can breathe water,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.600299999,,,,,,,,,,,f,0,1.075200001,,0,68,68,9,1,An inch is infinite,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.332400002,,,,,,,,,,,j,1,2.492299999,,0,69,69,66,1,Music has a molecular structure,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.331800003,,,,,,,,,,,f,0,1.420399998,,0,70,70,61,1,Sailboats reproduce,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.245900002,,,,,,,,,,,f,1,0.998699997,,0,71,71,52,1,Frogs reproduce,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.665400002,,,,,,,,,,,,0,,,0,72,72,60,1,Robots need nutrients,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.332700001,,,,,,,,,,,f,1,1.405900002,,0,73,73,37,1,Numbers can go on forever,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.332799999,,,,,,,,,,,j,1,2.335200001,,0,74,74,43,1,The number five is endless,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.256900002,,,,,,,,,,,j,1,3.156100002,,0,75,75,58,1,Clocks are alive,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.254400002,,,,,,,,,,,f,1,1.495799999,,0,76,76,10,1,An inch has an end,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.336100002,,,,,,,,,,,f,0,2.734800003,,0,77,77,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.333099998,,,,,,,,,,,f,1,2.236100002,,0,78,78,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.4995,,,,,,,,,,,j,0,0.741299999,,0,79,79,100,1,A truck is a vehicle,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,space,0.422799999,,,,,,,,,,,f,1,1.329200001,,0,80,80,0,1,A minute is finite,f,,,
,,,,,,,7953,2022-04-06_18h24.56.285,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,15.02923186,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,7.217
