INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,Advance_Resp.rt,key_resp.rt,encouragekey.rt,endstudykey.keys
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,12,12,62,1,Helicopters reproduce,j,0.188,1.185,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,13,13,88,1,This sentence is written in English,f,0.409,1.677,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,14,14,66,1,Music has a molecular structure,j,0.134,1.282,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,15,15,52,1,Frogs reproduce,f,0.219,1.131,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,16,16,33,1,Numbers are infinite,f,0.117,1.288,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,17,17,25,1,Space is infinite,f,0.127,1.205,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,18,18,27,1,Space is endless,f,0.184,1.432,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,19,19,13,1,An inch can go on forever,j,0.119,1.775,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,20,20,116,1,Fish cannot swim in the ocean,j,0.085,1.633,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,21,21,98,1,A clock is used to tell time,f,0.137,1.121,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,22,22,37,1,Numbers can go on forever,f,0.168,1.142,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,23,23,26,1,Space has an end,j,0.118,1.46,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,0,,0,24,24,22,1,Time cannot always be further divided,j,0.198,2.268,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,25,25,48,1,Crocodiles are alive,f,1.381,1.531,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,26,26,6,1,A minute cannot always be further divided,j,1.536,2.358,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,27,27,24,1,Space is finite,j,0.135,1.403,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,28,28,8,1,An inch is finite,f,0.167,1.754,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,29,29,117,1,Dolphins cannot swim in the ocean,j,1.273,1.611,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,30,30,120,1,A truck is an animal,j,0.609,0.99,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,31,31,97,1,Dolphins can swim in the ocean,f,0.489,1.27,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,32,32,115,1,Yellow is an animal,j,0.35,1.15,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,33,33,67,1,Gravity has a molecular structure,j,0.368,1.479,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,34,34,111,1,A circle is a flavor,j,0.313,1.173,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,35,35,76,1,Pollen has a molecular structure,f,0.453,1.4,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,36,36,11,1,An inch is endless,j,0.308,1.38,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,37,37,85,1,Thoughts are composed of matter,j,0.31,1.576,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,38,38,56,1,Diamonds have a molecular structure,f,0.438,1.46,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,39,39,10,1,An inch has an end,f,0.303,1.484,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,space,0,40,40,124,1,The president of the United States is Oprah,j,0.691,1.411,0.947,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,41,41,78,1,Hammers are alive,j,0.511,1.321,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,42,42,41,1,The number five is infinite,j,0.874,1.726,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,0,,0,43,43,30,1,Space cannot always be further divided,j,0.308,2.177,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,44,44,125,1,There are ninty states in the United States,j,0.335,1.198,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,45,45,100,1,A truck is a vehicle,f,0.312,1.12,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,46,46,5,1,A minute can go on forever,j,0.28,1.222,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,47,47,121,1,Jupiter is the planet we live on,j,0.329,1.288,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,48,48,72,1,Mushrooms reproduce,f,0.212,1.048,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,49,49,95,1,Yellow is a color,f,0.181,0.914,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,50,50,119,1,A motorcycle is a person,j,0.165,1.167,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,51,51,53,1,Bricks can be put in a container,f,0.195,1.619,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,52,52,50,1,Turtles need nutrients,f,0.128,1.309,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,53,53,61,1,Sailboats reproduce,j,0.179,1.161,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,0,,0,54,54,14,1,An inch cannot always be further divided,j,0.233,1.955,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,55,55,31,1,Space can always be further divided,f,0.176,1.993,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,56,56,49,1,Pelicans are alive,f,0.184,1.786,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,57,57,106,1,Humans cannot breathe water,f,0.114,1.763,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,58,58,63,1,Color can be put in a container,j,0.132,1.38,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,59,59,92,1,Dinosaurs are extinct,f,0.118,1.106,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,60,60,28,1,Space cannot go on forever,j,0.132,1.285,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,61,61,4,1,A minute cannot go on forever,f,0.133,1.497,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,62,62,99,1,A motorcycle is a vehicle,f,0.12,1.069,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,63,63,69,1,Bacteria are alive,f,0.101,1.149,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,64,64,103,1,The United States is a country,f,0.098,1.379,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,65,65,58,1,Clocks are alive,j,0.166,0.959,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,66,66,12,1,An inch cannot go on forever,f,0.114,1.03,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,67,67,65,1,Shadows are composed of matter,j,0.132,1.278,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,68,68,44,1,The number five cannot go on forever,f,0.118,1.388,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,69,69,40,1,The number five is finite,f,0.105,1.784,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,70,70,79,1,Forks are alive,j,0.134,1.044,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,71,71,83,1,Songs can be put in a container,j,0.113,1.228,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,72,72,19,1,Time is endless,f,0.151,1.436,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,73,73,91,1,A circle is a shape,f,0.151,1.043,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,74,74,80,1,Mittens need nutrients,j,0.131,1.081,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,75,75,15,1,An inch can be always further divided,f,0.2,1.616,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,76,76,39,1,Numbers can always be further divided,f,0.111,1.885,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,77,77,34,1,Numbers have an end,j,0.239,1.845,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,0,,0,78,78,7,1,A minute can always be further divided,f,0.093,1.639,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,f,1,,0,79,79,96,1,Fish can swim in the ocean,f,0.082,1.146,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,space,,,,,,,,,j,1,,0,80,80,123,1,Mississippi is a country,j,0.1,1.016,,
,,,,,,,,2820,2022-04-06_18h40.01.681,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,
