INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,endstudykey.keys,endstudykey.rt
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,j,1,1.1721,space,0.1853,0,5,5,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,j,1,1.3607,space,0.2724,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,j,1,1.3308,space,0.2651,0,7,7,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,j,1,1.4381,space,0.2462,0,8,8,9,1,Humans cannot eat food,j,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,f,1,1.0803,space,0.1807,0,9,9,1,1,Dinosaurs are extinct,f,,,,,,,,,,,,,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.6162,,,,,,,,,j,1,1.7919,,0,0,0,126,1,Humans can breathe water,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2711,,,,,,,,,j,1,2.1362,,0,1,1,86,1,Words have a molecular structure,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1962,,,,,,,,,f,1,1.5041,,0,2,2,31,1,Space can always be further divided,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2001,,,,,,,,,j,1,1.1334,,0,3,3,124,1,The president of the United States is Oprah,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1344,,,,,,,,,j,1,0.993,,0,4,4,111,1,A circle is a flavor,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2293,,,,,,,,,j,1,1.1887,,0,5,5,127,1,A zebra is used to write,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.3385,,,,,,,,,f,0,1.0138,,0,6,6,9,1,An inch is infinite,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1464,,,,,,,,,f,1,1.438,,0,7,7,42,1,The number five has an end,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1613,,,,,,,,,f,1,1.0579,,0,8,8,72,1,Mushrooms reproduce,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1431,,,,,,,,,f,1,0.8636,,0,9,9,17,1,Time is infinite,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1596,,,,,,,,,j,1,0.9807,,0,10,10,120,1,A truck is an animal,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.3092,,,,,,,,,f,1,1.7609,,0,11,11,97,1,Dolphins can swim in the ocean,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1534,,,,,,,,,f,1,0.9184,,0,12,12,93,1,Magenta is a color,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.5912,,,,,,,,,f,0,1.3387,,0,13,13,67,1,Gravity has a molecular structure,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.3153,,,,,,,,,f,0,1.6362,,0,14,14,46,1,The number five cannot always be further divided,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.163,,,,,,,,,f,1,0.8631,,0,15,15,102,1,The Earth is a planet,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.134,,,,,,,,,f,1,0.9841,,0,16,16,103,1,The United States is a country,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1437,,,,,,,,,j,1,0.9498,,0,17,17,113,1,Magenta is a shape,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1125,,,,,,,,,j,1,1.0998,,0,18,18,110,1,A triangle is an animal,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1503,,,,,,,,,j,1,1.371,,0,19,19,63,1,Color can be put in a container,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.19,,,,,,,,,j,1,1.2637,,0,20,20,82,1,Stones reproduce,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1448,,,,,,,,,f,1,0.8629,,0,21,21,91,1,A circle is a shape,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1279,,,,,,,,,f,0,1.604,,0,22,22,41,1,The number five is infinite,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1678,,,,,,,,,f,1,1.2119,,0,23,23,4,1,A minute cannot go on forever,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1418,,,,,,,,,j,1,1.1245,,0,24,24,122,1,The Earth is a star,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2073,,,,,,,,,f,0,0.816,,0,25,25,24,1,Space is finite,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1392,,,,,,,,,f,0,1.0381,,0,26,26,32,1,Numbers are finite,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0553,,,,,,,,,f,1,0.8393,,0,27,27,68,1,Algae is alive,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1144,,,,,,,,,f,1,0.902,,0,28,28,35,1,Numbers are endless,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1629,,,,,,,,,j,0,1.5061,,0,29,29,75,1,Frost is composed of matter,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1042,,,,,,,,,f,0,1.927,,0,30,30,38,1,Numbers cannot always be further divided,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.095,,,,,,,,,f,1,1.0084,,0,31,31,71,1,Oaks reproduce,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.107,,,,,,,,,f,0,1.0693,,0,32,32,13,1,An inch can go on forever,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0598,,,,,,,,,f,1,0.8997,,0,33,33,107,1,A pencil is used to write,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1176,,,,,,,,,j,1,1.422,,0,34,34,117,1,Dolphins cannot swim in the ocean,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2276,,,,,,,,,f,0,1.3577,,0,35,35,5,1,A minute can go on forever,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.147,,,,,,,,,j,0,1.279,,0,36,36,2,1,A minute has an end,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.4695,,,,,,,,,f,0,0.967,,0,37,37,112,1,Dinosaurs are not extinct,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1464,,,,,,,,,f,1,0.9927,,0,38,38,29,1,Space can go on forever,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1263,,,,,,,,,f,1,1.1634,,0,39,39,95,1,Yellow is a color,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,,,,,,,,,,,j,1,1.1213,,0,40,40,109,1,A square is a color,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2776,,,,,,,,,j,1,1.7379,,0,41,41,43,1,The number five is endless,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1264,,,,,,,,,f,1,1.2425,,0,42,42,55,1,Concrete is composed of matter,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1292,,,,,,,,,f,1,1.4414,,0,43,43,70,1,Grass needs nutrients,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1175,,,,,,,,,f,1,1.1832,,0,44,44,7,1,A minute can always be further divided,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.4275,,,,,,,,,j,1,1.6491,,0,45,45,60,1,Robots need nutrients,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1096,,,,,,,,,f,1,1.4342,,0,46,46,73,1,Bubbles can be put in a container,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1665,,,,,,,,,j,1,0.9176,,0,47,47,58,1,Clocks are alive,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2096,,,,,,,,,j,1,0.7996,,0,48,48,62,1,Helicopters reproduce,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1077,,,,,,,,,f,1,0.9774,,0,49,49,99,1,A motorcycle is a vehicle,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2686,,,,,,,,,j,1,1.2919,,0,50,50,28,1,Space cannot go on forever,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.3257,,,,,,,,,j,1,0.9585,,0,51,51,78,1,Hammers are alive,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2056,,,,,,,,,j,1,1.7684,,0,52,52,64,1,Echoes are composed of matter,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1308,,,,,,,,,f,0,1.0061,,0,53,53,34,1,Numbers have an end,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2027,,,,,,,,,j,1,1.7934,,0,54,54,116,1,Fish cannot swim in the ocean,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1335,,,,,,,,,f,0,1.4186,,0,55,55,22,1,Time cannot always be further divided,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1331,,,,,,,,,f,1,1.5258,,0,56,56,40,1,The number five is finite,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1678,,,,,,,,,j,1,1.2256,,0,57,57,123,1,Mississippi is a country,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.197,,,,,,,,,j,1,1.3461,,0,58,58,118,1,A horse is used to tell time,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.2045,,,,,,,,,f,0,0.9208,,0,59,59,30,1,Space cannot always be further divided,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1304,,,,,,,,,f,1,0.9217,,0,60,60,96,1,Fish can swim in the ocean,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1374,,,,,,,,,j,1,1.2388,,0,61,61,121,1,Jupiter is the planet we live on,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0807,,,,,,,,,f,1,0.9752,,0,62,62,98,1,A clock is used to tell time,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1377,,,,,,,,,j,1,0.9232,,0,63,63,61,1,Sailboats reproduce,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1086,,,,,,,,,f,0,0.7782,,0,64,64,18,1,Time has an end,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,1.3227,,,,,,,,,j,0,1.0762,,0,65,65,90,1,A triangle is not an animal,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1167,,,,,,,,,j,1,1.1799,,0,66,66,66,1,Music has a molecular structure,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1228,,,,,,,,,f,1,0.8302,,0,67,67,19,1,Time is endless,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1249,,,,,,,,,f,1,1.6444,,0,68,68,53,1,Bricks can be put in a container,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1184,,,,,,,,,f,1,1.0513,,0,69,69,77,1,Saliva has a molecular structure,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1478,,,,,,,,,f,1,1.242,,0,70,70,56,1,Diamonds have a molecular structure,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1512,,,,,,,,,j,1,1.0042,,0,71,71,65,1,Shadows are composed of matter,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1595,,,,,,,,,f,0,0.9275,,0,72,72,11,1,An inch is endless,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0857,,,,,,,,,f,1,1.3133,,0,73,73,23,1,Time can always be further divided,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1002,,,,,,,,,f,1,1.1836,,0,74,74,44,1,The number five cannot go on forever,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1052,,,,,,,,,f,1,1.0768,,0,75,75,101,1,Jupiter is in our solar system,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0711,,,,,,,,,f,1,1.0273,,0,76,76,92,1,Dinosaurs are extinct,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1291,,,,,,,,,j,1,1.1289,,0,77,77,84,1,Silence is composed of matter,j,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.1254,,,,,,,,,f,1,1.3634,,0,78,78,10,1,An inch has an end,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0966,,,,,,,,,f,1,1.0609,,0,79,79,21,1,Time can go on forever,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,space,0.0974,,,,,,,,,f,1,1.0918,,0,80,80,51,1,Tigers reproduce,f,,
,,,,,,,8203,2022-04-06_20h09.34.423,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,239.5783421,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.1023
