INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,f,1,1.6836,space,0.3831,0,5,5,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,f,0,2.5331,space,0.6448,0,6,6,6,1,Jupiter is the planet we live on,j,,,,,,,,,,,,,,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,j,1,0.9756,space,0.2039,0,7,7,8,1,Mississippi is a country,j,,,,,,,,,,,,,,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,f,1,0.882,space,0.6158,0,8,8,0,1,A circle is a shape,f,,,,,,,,,,,,,,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,j,1,0.9183,space,0.1907,0,9,9,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1172,,,,,,,,space,0.541,j,1,2.6585,,0,0,0,84,1,Silence is composed of matter,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.137,,,,,,,,,,j,1,1.0165,,0,1,1,62,1,Helicopters reproduce,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1169,,,,,,,,,,j,1,1.2497,,0,2,2,85,1,Thoughts are composed of matter,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1094,,,,,,,,,,f,1,3.2842,,0,3,3,55,1,Concrete is composed of matter,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1331,,,,,,,,,,f,1,3.8637,,0,4,4,106,1,Humans cannot breathe water,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0452,,,,,,,,,,j,1,1.5671,,0,5,5,36,1,Numbers cannot go on forever,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.134,,,,,,,,,,f,1,0.9172,,0,6,6,48,1,Crocodiles are alive,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.117,,,,,,,,,,f,1,1.5135,,0,7,7,29,1,Space can go on forever,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1193,,,,,,,,,,f,1,1.0831,,0,8,8,92,1,Dinosaurs are extinct,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0951,,,,,,,,,,j,1,1.1361,,0,9,9,26,1,Space has an end,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0257,,,,,,,,,,j,1,2.6108,,0,10,10,6,1,A minute cannot always be further divided,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1242,,,,,,,,,,f,1,2.0929,,0,11,11,70,1,Grass needs nutrients,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1168,,,,,,,,,,j,1,1.1375,,0,12,12,115,1,Yellow is an animal,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0829,,,,,,,,,,j,1,0.9369,,0,13,13,123,1,Mississippi is a country,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0993,,,,,,,,,,j,1,1.3331,,0,14,14,113,1,Magenta is a shape,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.083,,,,,,,,,,j,1,1.4493,,0,15,15,120,1,A truck is an animal,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0672,,,,,,,,,,j,1,2.5162,,0,16,16,64,1,Echoes are composed of matter,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1076,,,,,,,,,,j,1,1.6847,,0,17,17,112,1,Dinosaurs are not extinct,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0688,,,,,,,,,,f,1,1.5665,,0,18,18,15,1,An inch can be always further divided,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0666,,,,,,,,,,f,1,1.8299,,0,19,19,96,1,Fish can swim in the ocean,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.068,,,,,,,,,,j,1,1.0545,,0,20,20,126,1,Humans can breathe water,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.023,,,,,,,,,,f,1,1.4161,,0,21,21,105,1,There are fifty states in the United States,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0906,,,,,,,,,,f,1,1.018,,0,22,22,94,1,Orange is a color,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0908,,,,,,,,,,f,1,1.3841,,0,23,23,74,1,Foam is composed of matter,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0741,,,,,,,,,,f,1,1.6341,,0,24,24,39,1,Numbers can always be further divided,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0769,,,,,,,,,,f,1,1.7843,,0,25,25,101,1,Jupiter is in our solar system,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0434,,,,,,,,,,j,1,0.8859,,0,26,26,82,1,Stones reproduce,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0795,,,,,,,,,,f,1,1.5822,,0,27,27,21,1,Time can go on forever,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0506,,,,,,,,,,f,1,1.2162,,0,28,28,47,1,The number five can always be further divided,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0762,,,,,,,,,,f,1,1.5493,,0,29,29,90,1,A triangle is not an animal,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.064,,,,,,,,,,j,1,1.2332,,0,30,30,117,1,Dolphins cannot swim in the ocean,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0273,,,,,,,,,,j,1,0.9696,,0,31,31,81,1,Tables reproduce,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1018,,,,,,,,,,f,1,2.6482,,0,32,32,12,1,An inch cannot go on forever,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0661,,,,,,,,,,f,0,1.3165,,0,33,33,34,1,Numbers have an end,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0834,,,,,,,,,,j,1,2.031,,0,34,34,121,1,Jupiter is the planet we live on,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.086,,,,,,,,,,f,1,1.3348,,0,35,35,99,1,A motorcycle is a vehicle,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0658,,,,,,,,,,f,1,0.7173,,0,36,36,100,1,A truck is a vehicle,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0712,,,,,,,,,,j,1,1.0195,,0,37,37,79,1,Forks are alive,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0502,,,,,,,,,,f,1,1.3834,,0,38,38,17,1,Time is infinite,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.1674,,,,,,,,,,f,1,0.6192,,0,39,39,40,1,The number five is finite,f,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,1.1177,,,,,,,,,,f,1,1.0331,space,0,40,40,107,1,A pencil is used to write,f,2.7321
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0502,,,,,,,,,,f,0,1.2824,,0,41,41,60,1,Robots need nutrients,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0003,,,,,,,,,,j,1,2.8335,,0,42,42,119,1,A motorcycle is a person,j,
,,,,,,,,8654,2022-03-31_12h08.07.484,ImplicitInfinitySC-FASTTASK,2021.2.3,MacIntel,60.0024001,,,,space,0.0179,,,,,,,,,,f,1,1.3663,,0,43,43,31,1,Space can always be further divided,f,
