INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.8771,,,,,,,,space,2.1856,,0,,0,0,0,46,1,The number five cannot always be further divided,j,,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.5006,,,,,,,,,,j,1,,0,1,1,41,1,The number five is infinite,j,1.1397,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.5004,,,,,,,,,,j,1,,0,2,2,3,1,A minute is endless,j,1.2005,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.6353,,,,,,,,,,f,0,,0,3,3,30,1,Space cannot always be further divided,j,2.1511,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.5505,,,,,,,,,,j,1,,0,4,4,36,1,Numbers cannot go on forever,j,1.4167,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.3131,,,,,,,,,,j,1,,0,5,5,61,1,Sailboats reproduce,j,1.1466,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.262,,,,,,,,,,f,1,,0,6,6,97,1,Dolphins can swim in the ocean,f,1.1633,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.3671,,,,,,,,,,j,1,,0,7,7,112,1,Dinosaurs are not extinct,j,1.2861,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2464,,,,,,,,,,f,1,,0,8,8,51,1,Tigers reproduce,f,1.4521,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1972,,,,,,,,,,f,1,,0,9,9,77,1,Saliva has a molecular structure,f,1.8684,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2622,,,,,,,,,,f,1,,0,10,10,44,1,The number five cannot go on forever,f,1.9896,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1798,,,,,,,,,,f,1,,0,11,11,93,1,Magenta is a color,f,1.0463,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2029,,,,,,,,,,j,1,,0,12,12,65,1,Shadows are composed of matter,j,1.7038,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2003,,,,,,,,,,f,0,,0,13,13,32,1,Numbers are finite,j,1.3153,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2291,,,,,,,,,,f,1,,0,14,14,102,1,The Earth is a planet,f,0.8909,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2728,,,,,,,,,,j,1,,0,15,15,60,1,Robots need nutrients,j,1.3807,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2385,,,,,,,,,,j,1,,0,16,16,114,1,Lightbulbs are made of clay,j,1.2128,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1794,,,,,,,,,,j,1,,0,17,17,13,1,An inch can go on forever,j,1.6471,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2006,,,,,,,,,,f,1,,0,18,18,53,1,Bricks can be put in a container,f,1.7187,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2773,,,,,,,,,,j,1,,0,19,19,127,1,A zebra is used to write,j,1.2373,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.278,,,,,,,,,,j,1,,0,20,20,87,1,Dreams have a molecular structure,j,1.5363,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2051,,,,,,,,,,j,1,,0,21,21,18,1,Time has an end,j,1.8689,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2249,,,,,,,,,,f,1,,0,22,22,75,1,Frost is composed of matter,f,1.59,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2065,,,,,,,,,,j,0,,0,23,23,23,1,Time can always be further divided,f,1.3168,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2348,,,,,,,,,,f,1,,0,24,24,54,1,Dumbells are composed of matter,f,1.5465,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2374,,,,,,,,,,f,1,,0,25,25,42,1,The number five has an end,f,2.1846,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2593,,,,,,,,,,f,0,,0,26,26,80,1,Mittens need nutrients,j,1.3145,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2294,,,,,,,,,,f,1,,0,27,27,2,1,A minute has an end,f,1.5651,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.254,,,,,,,,,,f,1,,0,28,28,92,1,Dinosaurs are extinct,f,1.0899,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2424,,,,,,,,,,j,1,,0,29,29,1,1,A minute is infinite,j,1.4375,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2174,,,,,,,,,,j,1,,0,30,30,81,1,Tables reproduce,j,1.1132,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2259,,,,,,,,,,f,1,,0,31,31,88,1,This sentence is written in English,f,1.1212,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2285,,,,,,,,,,f,1,,0,32,32,25,1,Space is infinite,f,1.5465,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2661,,,,,,,,,,f,1,,0,33,33,70,1,Grass needs nutrients,f,1.167,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.3019,,,,,,,,,,j,0,,0,34,34,19,1,Time is endless,f,1.6504,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2072,,,,,,,,,,f,1,,0,35,35,107,1,A pencil is used to write,f,0.9514,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2692,,,,,,,,,,j,1,,0,36,36,120,1,A truck is an animal,j,0.8833,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2184,,,,,,,,,,j,1,,0,37,37,28,1,Space cannot go on forever,j,1.5798,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2195,,,,,,,,,,f,1,,0,38,38,37,1,Numbers can go on forever,f,1.1327,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2113,,,,,,,,,,j,1,,0,39,39,113,1,Magenta is a shape,j,0.9957,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.8368,,,,,,,,,,f,1,space,0,40,40,56,1,Diamonds have a molecular structure,f,1.0842,0.6006,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.194,,,,,,,,,,f,1,,0,41,41,106,1,Humans cannot breathe water,f,1.6973,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2341,,,,,,,,,,j,1,,0,42,42,5,1,A minute can go on forever,j,1.0044,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2135,,,,,,,,,,j,1,,0,43,43,83,1,Songs can be put in a container,j,1.6966,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2415,,,,,,,,,,j,1,,0,44,44,6,1,A minute cannot always be further divided,j,1.2825,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2364,,,,,,,,,,f,1,,0,45,45,27,1,Space is endless,f,1.6127,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2004,,,,,,,,,,j,1,,0,46,46,126,1,Humans can breathe water,j,1.0998,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2251,,,,,,,,,,j,1,,0,47,47,67,1,Gravity has a molecular structure,j,1.422,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1872,,,,,,,,,,f,1,,0,48,48,48,1,Crocodiles are alive,f,0.9267,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2825,,,,,,,,,,f,1,,0,49,49,91,1,A circle is a shape,f,0.8198,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.234,,,,,,,,,,j,1,,0,50,50,125,1,There are ninty states in the United States,j,1.3196,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2236,,,,,,,,,,f,1,,0,51,51,57,1,Rocks have a molecular structure,f,1.0414,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2166,,,,,,,,,,j,1,,0,52,52,58,1,Clocks are alive,j,0.7711,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2509,,,,,,,,,,j,1,,0,53,53,110,1,A triangle is an animal,j,1.0694,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2212,,,,,,,,,,j,1,,0,54,54,124,1,The president of the United States is Oprah,j,1.2176,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.183,,,,,,,,,,f,1,,0,55,55,52,1,Frogs reproduce,f,0.719,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1881,,,,,,,,,,f,1,,0,56,56,33,1,Numbers are infinite,f,1.2032,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2349,,,,,,,,,,j,1,,0,57,57,45,1,The number five can go on forever,j,1.0675,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2367,,,,,,,,,,f,0,,0,58,58,38,1,Numbers cannot always be further divided,j,1.4045,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2509,,,,,,,,,,f,1,,0,59,59,100,1,A truck is a vehicle,f,2.2517,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.321,,,,,,,,,,j,0,,0,60,60,21,1,Time can go on forever,f,1.2848,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2417,,,,,,,,,,j,1,,0,61,61,84,1,Silence is composed of matter,j,1.3192,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.3339,,,,,,,,,,j,1,,0,62,62,59,1,Comets are alive,j,1.4399,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2223,,,,,,,,,,j,1,,0,63,63,63,1,Color can be put in a container,j,1.2008,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2405,,,,,,,,,,j,0,,0,64,64,47,1,The number five can always be further divided,f,1.4342,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2171,,,,,,,,,,f,1,,0,65,65,94,1,Orange is a color,f,1.9013,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2337,,,,,,,,,,f,1,,0,66,66,35,1,Numbers are endless,f,1.4344,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1726,,,,,,,,,,f,1,,0,67,67,74,1,Foam is composed of matter,f,2.001,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1908,,,,,,,,,,f,0,,0,68,68,24,1,Space is finite,j,1.5178,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1887,,,,,,,,,,j,1,,0,69,69,116,1,Fish cannot swim in the ocean,j,1.3549,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.5204,,,,,,,,,,j,0,,0,70,70,39,1,Numbers can always be further divided,f,1.5566,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2175,,,,,,,,,,f,1,,0,71,71,55,1,Concrete is composed of matter,f,1.7247,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1847,,,,,,,,,,j,1,,0,72,72,117,1,Dolphins cannot swim in the ocean,j,1.0505,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1849,,,,,,,,,,f,0,,0,73,73,26,1,Space has an end,j,1.4179,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2004,,,,,,,,,,j,1,,0,74,74,119,1,A motorcycle is a person,j,1.1008,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2332,,,,,,,,,,f,1,,0,75,75,73,1,Bubbles can be put in a container,f,1.7848,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.201,,,,,,,,,,j,1,,0,76,76,85,1,Thoughts are composed of matter,j,0.9061,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.201,,,,,,,,,,j,1,,0,77,77,11,1,An inch is endless,j,1.0187,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.1896,,,,,,,,,,j,1,,0,78,78,62,1,Helicopters reproduce,j,0.9047,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2004,,,,,,,,,,j,1,,0,79,79,122,1,The Earth is a star,j,1.2912,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,space,0.2339,,,,,,,,,,f,1,,0,80,80,29,1,Space can go on forever,f,1.3926,,
,,,,,,,,4969,2022-04-06_16h16.04.443,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.81934558,,,,,,,,,,,,,,,,,,,,,,,,,,,
