INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,Advance_Resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.4,,,f,1,1.3778,,0,17,17,70,1,Grass needs nutrients,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.4337,,,f,1,1.3619,,0,18,18,76,1,Pollen has a molecular structure,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3459,,,f,1,1.1231,,0,19,19,54,1,Dumbells are composed of matter,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.339,,,f,1,1.112,,0,20,20,68,1,Algae is alive,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2809,,,j,1,1.3962,,0,21,21,122,1,The Earth is a star,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.37,,,j,1,1.3826,,0,22,22,118,1,A horse is used to tell time,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2944,,,j,1,0.9937,,0,23,23,123,1,Mississippi is a country,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3286,,,f,1,1.3406,,0,24,24,35,1,Numbers are endless,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2784,,,f,1,1.3491,,0,25,25,75,1,Frost is composed of matter,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3337,,,f,1,1.2667,,0,26,26,88,1,This sentence is written in English,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3338,,,j,1,1.5008,,0,27,27,36,1,Numbers cannot go on forever,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3166,,,j,1,1.2917,,0,28,28,121,1,Jupiter is the planet we live on,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.244,,,j,1,3.3891,,0,29,29,64,1,Echoes are composed of matter,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2629,,,j,0,1.628,,0,30,30,12,1,An inch cannot go on forever,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3291,,,f,1,2.0115,,0,31,31,15,1,An inch can be always further divided,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2689,,,j,1,1.3255,,0,32,32,115,1,Yellow is an animal,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.267,,,f,1,1.1181,,0,33,33,51,1,Tigers reproduce,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2702,,,j,1,0.945,,0,34,34,113,1,Magenta is a shape,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3062,,,j,1,1.1896,,0,35,35,81,1,Tables reproduce,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3139,,,f,0,1.6928,,0,36,36,46,1,The number five cannot always be further divided,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2673,,,f,1,1.2901,,0,37,37,27,1,Space is endless,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.258,,,f,1,1.3677,,0,38,38,92,1,Dinosaurs are extinct,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2367,,,j,1,1.625,,0,39,39,5,1,A minute can go on forever,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,1.5782,,,j,0,2.1905,space,0,40,40,40,1,The number five is finite,f,1.0342,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2337,,,f,1,0.867,,0,41,41,94,1,Orange is a color,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2073,,,j,1,1.6052,,0,42,42,20,1,Time cannot go on forever,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2478,,,j,1,1.3067,,0,43,43,24,1,Space is finite,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.289,,,f,1,1.5565,,0,44,44,25,1,Space is infinite,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2914,,,f,1,1.1904,,0,45,45,99,1,A motorcycle is a vehicle,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.303,,,j,1,2.0193,,0,46,46,83,1,Songs can be put in a container,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3265,,,f,1,1.0777,,0,47,47,37,1,Numbers can go on forever,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2667,,,f,1,1.0449,,0,48,48,98,1,A clock is used to tell time,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2731,,,j,1,1.3894,,0,49,49,11,1,An inch is endless,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3108,,,f,1,2.2365,,0,50,50,8,1,An inch is finite,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2739,,,j,1,2.3897,,0,51,51,65,1,Shadows are composed of matter,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2476,,,f,1,1.1945,,0,52,52,89,1,A square is a shape,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3115,,,f,1,1.0816,,0,53,53,77,1,Saliva has a molecular structure,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2677,,,j,1,1.2689,,0,54,54,59,1,Comets are alive,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2784,,,f,1,1.3256,,0,55,55,90,1,A triangle is not an animal,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2819,,,j,1,0.9448,,0,56,56,119,1,A motorcycle is a person,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.267,,,f,1,0.851,,0,57,57,91,1,A circle is a shape,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2673,,,j,1,1.1723,,0,58,58,43,1,The number five is endless,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2451,,,j,1,1.9339,,0,59,59,38,1,Numbers cannot always be further divided,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2438,,,j,1,1.2984,,0,60,60,3,1,A minute is endless,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2775,,,f,1,2.6878,,0,61,61,39,1,Numbers can always be further divided,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.266,,,j,1,1.3807,,0,62,62,45,1,The number five can go on forever,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3228,,,f,1,1.3623,,0,63,63,106,1,Humans cannot breathe water,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2226,,,j,1,1.4003,,0,64,64,13,1,An inch can go on forever,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2035,,,j,1,2.0466,,0,65,65,127,1,A zebra is used to write,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2686,,,f,0,2.4908,,0,66,66,14,1,An inch cannot always be further divided,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.1681,,,f,1,1.0227,,0,67,67,49,1,Pelicans are alive,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2005,,,j,1,1.3224,,0,68,68,114,1,Lightbulbs are made of clay,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2046,,,j,1,1.3585,,0,69,69,63,1,Color can be put in a container,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2472,,,f,1,1.6727,,0,70,70,0,1,A minute is finite,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.1906,,,f,0,2.6495,,0,71,71,30,1,Space cannot always be further divided,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.1933,,,f,1,1.0782,,0,72,72,95,1,Yellow is a color,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3008,,,j,1,3.6556,,0,73,73,28,1,Space cannot go on forever,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.3117,,,f,1,2.8268,,0,74,74,19,1,Time is endless,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2131,,,j,1,2.1706,,0,75,75,6,1,A minute cannot always be further divided,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2152,,,j,1,1.9062,,0,76,76,26,1,Space has an end,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.17,,,f,1,0.9783,,0,77,77,100,1,A truck is a vehicle,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.1685,,,f,1,0.9005,,0,78,78,48,1,Crocodiles are alive,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.1893,,,f,1,1.1364,,0,79,79,74,1,Foam is composed of matter,f,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,space,,,,,,,,0.2451,,,j,1,1.3395,,0,80,80,82,1,Stones reproduce,j,,,
,,,,,,,,1952,2022-04-06_17h59.36.802,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,89.97660608,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.5085
