INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,key_resp.rt,encouragekey.rt,endstudykey.keys,endstudykey.rt
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,f,1,2.078,space,1.077,0,5,5,2,1,Magenta is a color,f,,,,,,,,,,,,,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,j,1,1.596,space,0.441,0,6,6,5,1,A truck is an animal,j,,,,,,,,,,,,,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,f,1,1.37,space,0.474,0,7,7,3,1,A clock is used to tell time,f,,,,,,,,,,,,,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,j,1,1.264,space,0.4,0,8,8,8,1,Mississippi is a country,j,,,,,,,,,,,,,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,f,1,1.846,space,0.783,0,9,9,4,1,Humans cannot breathe water,f,,,,,,,,,,,,,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,1.71,,,,,,,,,,0,,0,0,0,84,1,Silence is composed of matter,j,,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,1.338,,,,,,,,,j,1,,0,1,1,113,1,Magenta is a shape,j,1.242,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.478,,,,,,,,,f,1,,0,2,2,12,1,An inch cannot go on forever,f,3.067,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.569,,,,,,,,,j,1,,0,3,3,38,1,Numbers cannot always be further divided,j,2.311,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.402,,,,,,,,,j,1,,0,4,4,82,1,Stones reproduce,j,1.31,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.636,,,,,,,,,f,1,,0,5,5,75,1,Frost is composed of matter,f,1.876,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.441,,,,,,,,,f,0,,0,6,6,66,1,Music has a molecular structure,j,1.739,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.375,,,,,,,,,f,1,,0,7,7,35,1,Numbers are endless,f,1.575,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.446,,,,,,,,,j,1,,0,8,8,119,1,A motorcycle is a person,j,1.439,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.367,,,,,,,,,f,0,,0,9,9,64,1,Echoes are composed of matter,j,1.631,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.438,,,,,,,,,j,1,,0,10,10,79,1,Forks are alive,j,1.634,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.381,,,,,,,,,f,1,,0,11,11,91,1,A circle is a shape,f,1.367,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.331,,,,,,,,,f,1,,0,12,12,103,1,The United States is a country,f,1.103,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.337,,,,,,,,,f,1,,0,13,13,21,1,Time can go on forever,f,1.964,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.417,,,,,,,,,f,0,,0,14,14,65,1,Shadows are composed of matter,j,1.739,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.869,,,,,,,,,f,1,,0,15,15,54,1,Dumbells are composed of matter,f,1.768,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.495,,,,,,,,,f,1,,0,16,16,72,1,Mushrooms reproduce,f,1.513,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.602,,,,,,,,,j,1,,0,17,17,81,1,Tables reproduce,j,1.765,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.601,,,,,,,,,f,1,,0,18,18,44,1,The number five cannot go on forever,f,2.766,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.533,,,,,,,,,j,1,,0,19,19,36,1,Numbers cannot go on forever,j,1.4,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.501,,,,,,,,,f,1,,0,20,20,88,1,This sentence is written in English,f,1.631,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.504,,,,,,,,,j,1,,0,21,21,11,1,An inch is endless,j,1.912,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.438,,,,,,,,,j,1,,0,22,22,24,1,Space is finite,j,2.068,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.435,,,,,,,,,f,1,,0,23,23,53,1,Bricks can be put in a container,f,1.838,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.401,,,,,,,,,f,1,,0,24,24,95,1,Yellow is a color,f,1.039,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.373,,,,,,,,,f,1,,0,25,25,8,1,An inch is finite,f,1.698,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.437,,,,,,,,,j,1,,0,26,26,80,1,Mittens need nutrients,j,1.534,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.384,,,,,,,,,f,1,,0,27,27,70,1,Grass needs nutrients,f,1.076,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.438,,,,,,,,,j,1,,0,28,28,78,1,Hammers are alive,j,1.206,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.33,,,,,,,,,j,1,,0,29,29,115,1,Yellow is an animal,j,1.165,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.335,,,,,,,,,j,1,,0,30,30,30,1,Space cannot always be further divided,j,2.505,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.37,,,,,,,,,j,0,,0,31,31,105,1,There are fifty states in the United States,f,1.835,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.403,,,,,,,,,j,1,,0,32,32,117,1,Dolphins cannot swim in the ocean,j,1.531,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.401,,,,,,,,,j,1,,0,33,33,41,1,The number five is infinite,j,1.965,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.344,,,,,,,,,j,1,,0,34,34,5,1,A minute can go on forever,j,1.4,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.399,,,,,,,,,f,0,,0,35,35,87,1,Dreams have a molecular structure,j,1.443,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.371,,,,,,,,,j,1,,0,36,36,126,1,Humans can breathe water,j,1.33,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.369,,,,,,,,,f,1,,0,37,37,39,1,Numbers can always be further divided,f,2.712,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.369,,,,,,,,,j,1,,0,38,38,16,1,Time is finite,j,1.837,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.401,,,,,,,,,f,1,,0,39,39,107,1,A pencil is used to write,f,1.566,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,1.102,,,,,,,,,f,1,space,0,40,40,17,1,Time is infinite,f,1.904,4.989,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.371,,,,,,,,,j,1,,0,41,41,110,1,A triangle is an animal,j,1.133,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.471,,,,,,,,,f,1,,0,42,42,23,1,Time can always be further divided,f,1.679,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.435,,,,,,,,,f,1,,0,43,43,10,1,An inch has an end,f,1.668,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.5,,,,,,,,,f,1,,0,44,44,73,1,Bubbles can be put in a container,f,1.673,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.413,,,,,,,,,j,1,,0,45,45,32,1,Numbers are finite,j,1.579,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.568,,,,,,,,,j,1,,0,46,46,3,1,A minute is endless,j,1.563,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.45,,,,,,,,,f,1,,0,47,47,71,1,Oaks reproduce,f,1.694,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.6,,,,,,,,,f,0,,0,48,48,86,1,Words have a molecular structure,j,1.774,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.41,,,,,,,,,j,1,,0,49,49,22,1,Time cannot always be further divided,j,1.673,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.491,,,,,,,,,j,1,,0,50,50,125,1,There are ninty states in the United States,j,2.168,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.405,,,,,,,,,j,1,,0,51,51,111,1,A circle is a flavor,j,1.843,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.435,,,,,,,,,f,0,,0,52,52,85,1,Thoughts are composed of matter,j,1.301,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.405,,,,,,,,,f,1,,0,53,53,25,1,Space is infinite,f,1.646,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.445,,,,,,,,,f,1,,0,54,54,101,1,Jupiter is in our solar system,f,1.235,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.368,,,,,,,,,j,1,,0,55,55,109,1,A square is a color,j,1.27,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.515,,,,,,,,,f,1,,0,56,56,4,1,A minute cannot go on forever,f,1.701,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.575,,,,,,,,,j,1,,0,57,57,108,1,This sentence is written in Spanish,j,1.502,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.334,,,,,,,,,j,1,,0,58,58,13,1,An inch can go on forever,j,1.233,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.368,,,,,,,,,f,1,,0,59,59,68,1,Algae is alive,f,1.265,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.405,,,,,,,,,f,1,,0,60,60,106,1,Humans cannot breathe water,f,1.498,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.401,,,,,,,,,j,1,,0,61,61,83,1,Songs can be put in a container,j,2.106,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.572,,,,,,,,,j,1,,0,62,62,46,1,The number five cannot always be further divided,j,3.598,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.534,,,,,,,,,f,1,,0,63,63,92,1,Dinosaurs are extinct,f,1.365,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.468,,,,,,,,,f,1,,0,64,64,57,1,Rocks have a molecular structure,f,1.369,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.501,,,,,,,,,j,1,,0,65,65,123,1,Mississippi is a country,j,1.443,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.441,,,,,,,,,f,1,,0,66,66,69,1,Bacteria are alive,f,1.032,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.402,,,,,,,,,f,1,,0,67,67,55,1,Concrete is composed of matter,f,1.398,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.37,,,,,,,,,f,1,,0,68,68,77,1,Saliva has a molecular structure,f,1.365,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.367,,,,,,,,,f,1,,0,69,69,29,1,Space can go on forever,f,1.207,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.501,,,,,,,,,f,1,,0,70,70,40,1,The number five is finite,f,2.116,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.341,,,,,,,,,f,1,,0,71,71,31,1,Space can always be further divided,f,1.334,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.334,,,,,,,,,f,1,,0,72,72,0,1,A minute is finite,f,1.435,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.364,,,,,,,,,j,1,,0,73,73,45,1,The number five can go on forever,j,1.463,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.401,,,,,,,,,f,1,,0,74,74,52,1,Frogs reproduce,f,1.408,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.41,,,,,,,,,j,1,,0,75,75,118,1,A horse is used to tell time,j,1.367,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.337,,,,,,,,,j,1,,0,76,76,116,1,Fish cannot swim in the ocean,j,2.101,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.412,,,,,,,,,j,1,,0,77,77,124,1,The president of the United States is Oprah,j,1.503,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.343,,,,,,,,,f,1,,0,78,78,47,1,The number five can always be further divided,f,3.1,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.339,,,,,,,,,f,1,,0,79,79,37,1,Numbers can go on forever,f,1.8,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,space,0.338,,,,,,,,,j,1,,0,80,80,20,1,Time cannot go on forever,j,1.446,,,
,,,,,,,,9468,2022-04-06_15h57.03.273,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,29.97601918,,,,,,,,,,,,,,,,,,,,,,,,,,space,27.824
