INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_2.rt,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,endstudykey.keys
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6342,,,,,,,,,,j,1,1.1522,,0,11,11,113,1,Magenta is a shape,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6607,,,,,,,,,,j,1,1.6018,,0,12,12,66,1,Music has a molecular structure,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.043,,,,,,,,,,j,1,1.1857,,0,13,13,11,1,An inch is endless,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6711,,,,,,,,,,f,0,0.8653,,0,14,14,119,1,A motorcycle is a person,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.258,,,,,,,,,,j,0,1.7267,,0,15,15,56,1,Diamonds have a molecular structure,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4847,,,,,,,,,,f,1,1.4143,,0,16,16,97,1,Dolphins can swim in the ocean,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,2.2248,,,,,,,,,,f,0,1.6064,,0,17,17,64,1,Echoes are composed of matter,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6396,,,,,,,,,,f,1,1.1983,,0,18,18,95,1,Yellow is a color,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6028,,,,,,,,,,f,1,1.0756,,0,19,19,101,1,Jupiter is in our solar system,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6571,,,,,,,,,,j,0,1.2987,,0,20,20,68,1,Algae is alive,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.784,,,,,,,,,,f,1,1.0239,,0,21,21,90,1,A triangle is not an animal,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.8768,,,,,,,,,,j,1,1.1999,,0,22,22,26,1,Space has an end,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6177,,,,,,,,,,f,0,2.1647,,0,23,23,28,1,Space cannot go on forever,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6169,,,,,,,,,,f,0,1.1731,,0,24,24,16,1,Time is finite,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.5373,,,,,,,,,,j,1,1.2866,,0,25,25,30,1,Space cannot always be further divided,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,j,1,0.9022,,0,26,26,115,1,Yellow is an animal,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,0,,,0,27,27,122,1,The Earth is a star,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.804,,,,,,,,,,f,1,1.1989,,0,28,28,70,1,Grass needs nutrients,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5586,,,,,,,,,,f,1,1.3704,,0,29,29,55,1,Concrete is composed of matter,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7343,,,,,,,,,,j,1,1.1651,,0,30,30,59,1,Comets are alive,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.1716,,,,,,,,,,f,0,1.0033,,0,31,31,120,1,A truck is an animal,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6881,,,,,,,,,,f,1,1.3099,,0,32,32,69,1,Bacteria are alive,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6189,,,,,,,,,,j,1,1.7322,,0,33,33,45,1,The number five can go on forever,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.699,,,,,,,,,,j,1,1.3328,,0,34,34,87,1,Dreams have a molecular structure,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5343,,,,,,,,,,f,1,2.7824,,0,35,35,76,1,Pollen has a molecular structure,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7194,,,,,,,,,,j,1,1.4052,,0,36,36,118,1,A horse is used to tell time,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.5006,,,,,,,,,,f,1,1.215,,0,37,37,72,1,Mushrooms reproduce,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6744,,,,,,,,,,j,1,1.5877,,0,38,38,84,1,Silence is composed of matter,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4639,,,,,,,,,,j,1,1.2796,,0,39,39,111,1,A circle is a flavor,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,6.2831,,,,,,,,,,f,1,1.1313,,0,40,40,51,1,Tigers reproduce,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.8506,,,,,,,,,,j,1,1.5019,,0,41,41,124,1,The president of the United States is Oprah,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.717,,,,,,,,,,f,1,0.9237,,0,42,42,93,1,Magenta is a color,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.612,,,,,,,,,,j,1,1.0504,,0,43,43,80,1,Mittens need nutrients,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6506,,,,,,,,,,f,1,0.8961,,0,44,44,52,1,Frogs reproduce,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4338,,,,,,,,,,j,1,1.0171,,0,45,45,81,1,Tables reproduce,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.1337,,,,,,,,,,j,0,1.467,,0,46,46,73,1,Bubbles can be put in a container,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7171,,,,,,,,,,j,1,1.5335,,0,47,47,60,1,Robots need nutrients,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.5333,,,,,,,,,,j,1,1.7173,,0,48,48,5,1,A minute can go on forever,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5624,,,,,,,,,,j,1,1.1667,,0,49,49,24,1,Space is finite,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.7342,,,,,,,,,,j,1,1.8905,,0,50,50,112,1,Dinosaurs are not extinct,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7534,,,,,,,,,,f,1,3.384,,0,51,51,4,1,A minute cannot go on forever,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6837,,,,,,,,,,j,1,1.5506,,0,52,52,43,1,The number five is endless,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.0176,,,,,,,,,,j,0,1.0508,,0,53,53,25,1,Space is infinite,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,4.5842,,,,,,,,,,f,0,1.567,,0,54,54,67,1,Gravity has a molecular structure,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.6465,,,,,,,,,,f,0,1.2005,,0,55,55,126,1,Humans can breathe water,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7168,,,,,,,,,,j,1,1.3172,,0,56,56,20,1,Time cannot go on forever,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4078,,,,,,,,,,f,1,1.1516,,0,57,57,102,1,The Earth is a planet,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.2352,,,,,,,,,,j,1,1.4571,,0,58,58,1,1,A minute is infinite,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4175,,,,,,,,,,j,0,1.7856,,0,59,59,77,1,Saliva has a molecular structure,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4998,,,,,,,,,,f,1,1.7438,,0,60,60,92,1,Dinosaurs are extinct,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7436,,,,,,,,,,j,0,1.5348,,0,61,61,7,1,A minute can always be further divided,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7436,,,,,,,,,,j,0,1.0357,,0,62,62,75,1,Frost is composed of matter,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.1229,,,,,,,,,,j,0,1.2951,,0,63,63,106,1,Humans cannot breathe water,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5548,,,,,,,,,,f,1,1.1847,,0,64,64,100,1,A truck is a vehicle,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4841,,,,,,,,,,j,0,1.0172,,0,65,65,2,1,A minute has an end,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4035,,,,,,,,,,j,1,1.0673,,0,66,66,110,1,A triangle is an animal,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.3505,,,,,,,,,,f,1,0.9105,,0,67,67,91,1,A circle is a shape,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.029,,,,,,,,,,j,0,1.8449,,0,68,68,31,1,Space can always be further divided,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5177,,,,,,,,,,j,0,1.5506,,0,69,69,74,1,Foam is composed of matter,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.5549,,,,,,,,,,f,1,1.6845,,0,70,70,21,1,Time can go on forever,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.7186,,,,,,,,,,f,1,1.5372,,0,71,71,19,1,Time is endless,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.4066,,,,,,,,,,f,1,0.9013,,0,72,72,89,1,A square is a shape,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.3443,,,,,,,,,,f,1,1.0417,,0,73,73,71,1,Oaks reproduce,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.268,,,,,,,,,,j,1,1.4902,,0,74,74,9,1,An inch is infinite,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5675,,,,,,,,,,j,0,1.4364,,0,75,75,0,1,A minute is finite,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.5843,,,,,,,,,,j,1,1.3367,,0,76,76,83,1,Songs can be put in a container,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.2598,,,,,,,,,,j,1,1.2602,,0,77,77,61,1,Sailboats reproduce,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,0.2841,,,,,,,,,,f,1,0.9519,,0,78,78,103,1,The United States is a country,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.2007,,,,,,,,,,f,0,1.2006,,0,79,79,121,1,Jupiter is the planet we live on,j,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,space,1.116,,,,,,,,,,j,0,1.4691,,0,80,80,39,1,Numbers can always be further divided,f,
,,,,,,,,1452,2022-04-06_18h01.47.052,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.9880024,,,,,,,,,,,,,,,,,,,,,,,,,
