INSTRESP.keys,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,INSTRESP.rt,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Advance_Resp.rt,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,key_resp_3.keys,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,j,1,1.316,space,0.311,0,8,8,7,1,The Earth is a star,j,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,j,1,1.083,space,0.353,0,9,9,5,1,A truck is an animal,j,,,,,,,,,,,,,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.186,,,,,,,,,j,1,1.894,,0,0,0,82,1,Stones reproduce,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.319,,,,,,,,,f,1,1.547,,0,1,1,90,1,A triangle is not an animal,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.195,,,,,,,,,j,1,1.182,,0,2,2,111,1,A circle is a flavor,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.212,,,,,,,,,f,1,1.582,,0,3,3,76,1,Pollen has a molecular structure,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.226,,,,,,,,,f,1,1.205,,0,4,4,35,1,Numbers are endless,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.256,,,,,,,,,f,1,1.782,,0,5,5,7,1,A minute can always be further divided,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.173,,,,,,,,,j,1,1.614,,0,6,6,64,1,Echoes are composed of matter,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.202,,,,,,,,,f,0,2.937,,0,7,7,38,1,Numbers cannot always be further divided,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.226,,,,,,,,,f,1,1.234,,0,8,8,92,1,Dinosaurs are extinct,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.221,,,,,,,,,f,1,1.031,,0,9,9,99,1,A motorcycle is a vehicle,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.254,,,,,,,,,f,1,0.864,,0,10,10,49,1,Pelicans are alive,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.236,,,,,,,,,f,1,1.116,,0,11,11,96,1,Fish can swim in the ocean,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.253,,,,,,,,,f,1,0.816,,0,12,12,102,1,The Earth is a planet,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.258,,,,,,,,,j,0,1.689,,0,13,13,4,1,A minute cannot go on forever,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.787,,,,,,,,,f,0,1.368,,0,14,14,6,1,A minute cannot always be further divided,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.267,,,,,,,,,f,1,0.907,,0,15,15,51,1,Tigers reproduce,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.3,,,,,,,,,f,1,1.104,,0,16,16,37,1,Numbers can go on forever,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.254,,,,,,,,,j,1,0.935,,0,17,17,113,1,Magenta is a shape,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.285,,,,,,,,,f,1,0.814,,0,18,18,25,1,Space is infinite,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.235,,,,,,,,,f,1,0.766,,0,19,19,89,1,A square is a shape,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.27,,,,,,,,,f,1,0.774,,0,20,20,100,1,A truck is a vehicle,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.238,,,,,,,,,f,1,0.972,,0,21,21,70,1,Grass needs nutrients,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.448,,,,,,,,,f,1,1.28,,0,22,22,106,1,Humans cannot breathe water,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.274,,,,,,,,,j,1,0.866,,0,23,23,59,1,Comets are alive,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.235,,,,,,,,,j,1,1.292,,0,24,24,108,1,This sentence is written in Spanish,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.31,,,,,,,,,j,1,1.452,,0,25,25,9,1,An inch is infinite,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.22,,,,,,,,,f,1,1.467,,0,26,26,31,1,Space can always be further divided,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.243,,,,,,,,,j,1,1.008,,0,27,27,61,1,Sailboats reproduce,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.199,,,,,,,,,j,1,1.165,,0,28,28,86,1,Words have a molecular structure,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.355,,,,,,,,,f,1,1.54,,0,29,29,42,1,The number five has an end,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.27,,,,,,,,,f,1,1.283,,0,30,30,29,1,Space can go on forever,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.274,,,,,,,,,f,1,0.857,,0,31,31,48,1,Crocodiles are alive,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.245,,,,,,,,,f,1,0.834,,0,32,32,103,1,The United States is a country,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.186,,,,,,,,,j,1,1.951,,0,33,33,22,1,Time cannot always be further divided,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,1.535,,,,,,,,,j,0,1.415,,0,34,34,12,1,An inch cannot go on forever,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.17,,,,,,,,,j,1,0.95,,0,35,35,122,1,The Earth is a star,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.155,,,,,,,,,j,1,1.215,,0,36,36,65,1,Shadows are composed of matter,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.168,,,,,,,,,j,1,1.17,,0,37,37,67,1,Gravity has a molecular structure,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.166,,,,,,,,,j,1,1.481,,0,38,38,32,1,Numbers are finite,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.137,,,,,,,,,j,1,1.15,,0,39,39,84,1,Silence is composed of matter,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,1.518,,,,,,,,,j,1,0.949,space,0,40,40,62,1,Helicopters reproduce,j,2.175,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.159,,,,,,,,,j,1,1.069,,0,41,41,85,1,Thoughts are composed of matter,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.156,,,,,,,,,j,0,1.717,,0,42,42,47,1,The number five can always be further divided,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.277,,,,,,,,,f,1,0.953,,0,43,43,19,1,Time is endless,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.162,,,,,,,,,j,1,0.799,,0,44,44,78,1,Hammers are alive,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.153,,,,,,,,,j,1,1.238,,0,45,45,45,1,The number five can go on forever,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.135,,,,,,,,,j,1,1.47,,0,46,46,36,1,Numbers cannot go on forever,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.196,,,,,,,,,j,1,1.124,,0,47,47,13,1,An inch can go on forever,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.134,,,,,,,,,j,1,1.021,,0,48,48,26,1,Space has an end,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.241,,,,,,,,,f,1,1.182,,0,49,49,56,1,Diamonds have a molecular structure,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.138,,,,,,,,,j,1,1.096,,0,50,50,34,1,Numbers have an end,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,1.03,,,,,,,,,j,0,1.131,,0,51,51,104,1,The United States has a president,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.173,,,,,,,,,f,1,1.33,,0,52,52,72,1,Mushrooms reproduce,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.134,,,,,,,,,j,1,1.281,,0,53,53,87,1,Dreams have a molecular structure,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.136,,,,,,,,,f,1,1.217,,0,54,54,77,1,Saliva has a molecular structure,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.123,,,,,,,,,f,1,1.182,,0,55,55,105,1,There are fifty states in the United States,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.143,,,,,,,,,f,1,0.947,,0,56,56,95,1,Yellow is a color,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.15,,,,,,,,,j,1,1.254,,0,57,57,20,1,Time cannot go on forever,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.122,,,,,,,,,j,1,1.55,,0,58,58,5,1,A minute can go on forever,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.159,,,,,,,,,f,1,1.521,,0,59,59,39,1,Numbers can always be further divided,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.137,,,,,,,,,f,1,1.323,,0,60,60,53,1,Bricks can be put in a container,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.154,,,,,,,,,j,1,1.831,,0,61,61,30,1,Space cannot always be further divided,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.122,,,,,,,,,f,1,1.006,,0,62,62,8,1,An inch is finite,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.142,,,,,,,,,j,1,1.135,,0,63,63,117,1,Dolphins cannot swim in the ocean,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.136,,,,,,,,,f,1,0.771,,0,64,64,69,1,Bacteria are alive,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.123,,,,,,,,,f,1,1.1,,0,65,65,10,1,An inch has an end,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.126,,,,,,,,,j,1,0.978,,0,66,66,28,1,Space cannot go on forever,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.14,,,,,,,,,f,1,1.263,,0,67,67,23,1,Time can always be further divided,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.101,,,,,,,,,f,1,0.798,,0,68,68,68,1,Algae is alive,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.111,,,,,,,,,f,1,0.917,,0,69,69,17,1,Time is infinite,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.077,,,,,,,,,f,0,2.467,,0,70,70,46,1,The number five cannot always be further divided,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.125,,,,,,,,,j,1,1.239,,0,71,71,16,1,Time is finite,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.107,,,,,,,,,f,1,1.163,,0,72,72,50,1,Turtles need nutrients,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.132,,,,,,,,,j,1,1.603,,0,73,73,126,1,Humans can breathe water,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.133,,,,,,,,,j,1,0.948,,0,74,74,119,1,A motorcycle is a person,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.137,,,,,,,,,j,1,1.032,,0,75,75,24,1,Space is finite,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.119,,,,,,,,,j,1,0.831,,0,76,76,79,1,Forks are alive,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.201,,,,,,,,,f,1,2.086,,0,77,77,44,1,The number five cannot go on forever,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.22,,,,,,,,,j,0,1.568,,0,78,78,75,1,Frost is composed of matter,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.176,,,,,,,,,f,1,2.12,,0,79,79,0,1,A minute is finite,f,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,space,0.12,,,,,,,,,j,1,0.971,,0,80,80,115,1,Yellow is an animal,j,,
,,,,,,,3739,2022-04-06_19h00.41.026,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
