INSTRESP.keys,INSTRESP.rt,Instrloop.thisRepN,Instrloop.thisTrialN,Instrloop.thisN,Instrloop.thisIndex,Instrloop.ran,FastInstructions,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,Advance_Resp.keys,Practice.thisRepN,Practice.thisTrialN,Practice.thisN,Practice.thisIndex,Practice.ran,practicetext,practicecorrect,Advance_Resp.rt,key_resp_3.keys,key_resp_3.rt,key_resp.keys,key_resp.corr,key_resp.rt,encouragekey.keys,FastLoop.thisRepN,FastLoop.thisTrialN,FastLoop.thisN,FastLoop.thisIndex,FastLoop.ran,Statement,Correct,encouragekey.rt,endstudykey.keys
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,j,1,2.1582,space,0,5,5,8,1,Mississippi is a country,j,7.5893,,,,,,,,,,,,,,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,j,1,2.1591,space,0,6,6,6,1,Jupiter is the planet we live on,j,1.0355,,,,,,,,,,,,,,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,f,1,1.8007,space,0,7,7,3,1,A clock is used to tell time,f,0.7865,,,,,,,,,,,,,,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,f,1,1.1818,space,0,8,8,0,1,A circle is a shape,f,0.3791,,,,,,,,,,,,,,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,j,1,2.3049,space,0,9,9,5,1,A truck is an animal,j,0.4957,,,,,,,,,,,,,,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.709,space,4.4562,f,0,2.8194,,0,0,0,67,1,Gravity has a molecular structure,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3496,,,j,1,1.6329,,0,1,1,1,1,A minute is infinite,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4002,,,f,1,2.2248,,0,2,2,42,1,The number five has an end,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3463,,,f,1,1.9523,,0,3,3,74,1,Foam is composed of matter,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.5145,,,j,1,1.6847,,0,4,4,114,1,Lightbulbs are made of clay,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3784,,,f,0,1.8895,,0,5,5,86,1,Words have a molecular structure,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.318,,,f,1,1.1051,,0,6,6,69,1,Bacteria are alive,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2252,,,f,0,1.6692,,0,7,7,59,1,Comets are alive,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.329,,,f,1,1.1626,,0,8,8,95,1,Yellow is a color,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3178,,,j,0,2.0563,,0,9,9,7,1,A minute can always be further divided,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3425,,,j,1,1.4875,,0,10,10,113,1,Magenta is a shape,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3517,,,f,1,1.6008,,0,11,11,4,1,A minute cannot go on forever,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3721,,,j,1,1.8755,,0,12,12,127,1,A zebra is used to write,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4825,,,j,0,2.1014,,0,13,13,12,1,An inch cannot go on forever,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.672,,,j,1,2.3025,,0,14,14,63,1,Color can be put in a container,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4162,,,f,1,1.6148,,0,15,15,101,1,Jupiter is in our solar system,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3577,,,f,1,2.0181,,0,16,16,37,1,Numbers can go on forever,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2807,,,j,1,1.6582,,0,17,17,3,1,A minute is endless,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3581,,,j,1,1.6993,,0,18,18,124,1,The president of the United States is Oprah,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4613,,,f,1,2.8107,,0,19,19,105,1,There are fifty states in the United States,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2848,,,j,1,1.6565,,0,20,20,64,1,Echoes are composed of matter,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.8016,,,j,1,1.2995,,0,21,21,9,1,An inch is infinite,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3421,,,f,1,1.6954,,0,22,22,19,1,Time is endless,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3241,,,f,1,1.4294,,0,23,23,94,1,Orange is a color,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3251,,,f,1,1.9668,,0,24,24,39,1,Numbers can always be further divided,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3575,,,f,1,1.1178,,0,25,25,21,1,Time can go on forever,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3993,,,f,1,1.3284,,0,26,26,104,1,The United States has a president,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3595,,,f,1,1.6643,,0,27,27,76,1,Pollen has a molecular structure,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3783,,,j,1,2.2646,,0,28,28,22,1,Time cannot always be further divided,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4501,,,j,1,1.5205,,0,29,29,62,1,Helicopters reproduce,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,,,,,,,,,,,,j,1,1.8905,,0,30,30,122,1,The Earth is a star,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,,,,,,,,,,,,f,1,1.5241,,0,31,31,35,1,Numbers are endless,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,8.6026,,,j,1,2.4975,,0,32,32,18,1,Time has an end,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.874,,,f,1,2.121,,0,33,33,31,1,Space can always be further divided,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.9459,,,f,1,2.1017,,0,34,34,47,1,The number five can always be further divided,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3722,,,f,0,1.3271,,0,35,35,20,1,Time cannot go on forever,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,,,,,,,,,,,,f,1,1.4832,,0,36,36,77,1,Saliva has a molecular structure,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,5.1372,,,f,1,2.4648,,0,37,37,55,1,Concrete is composed of matter,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,9.943,,,f,1,2.1462,,0,38,38,106,1,Humans cannot breathe water,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.8996,,,j,1,2.1223,,0,39,39,65,1,Shadows are composed of matter,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.7287,,,j,1,2.5808,space,0,40,40,38,1,Numbers cannot always be further divided,j,0.0854,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3763,,,f,1,1.3663,,0,41,41,52,1,Frogs reproduce,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4185,,,f,1,1.608,,0,42,42,97,1,Dolphins can swim in the ocean,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.5049,,,j,1,1.5291,,0,43,43,34,1,Numbers have an end,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.484,,,j,1,2.3735,,0,44,44,109,1,A square is a color,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4337,,,f,1,1.5623,,0,45,45,33,1,Numbers are infinite,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,,,,,,,,,,,,j,1,1.5833,,0,46,46,82,1,Stones reproduce,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.616,,,j,1,1.584,,0,47,47,78,1,Hammers are alive,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.8703,,,j,1,2.5591,,0,48,48,111,1,A circle is a flavor,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4206,,,j,1,1.3432,,0,49,49,119,1,A motorcycle is a person,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.377,,,j,0,1.6228,,0,50,50,71,1,Oaks reproduce,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3442,,,f,1,1.9863,,0,51,51,53,1,Bricks can be put in a container,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.7193,,,f,0,2.0596,,0,52,52,32,1,Numbers are finite,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2938,,,j,1,1.3697,,0,53,53,26,1,Space has an end,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3551,,,j,1,1.9071,,0,54,54,66,1,Music has a molecular structure,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2901,,,j,1,1.9658,,0,55,55,60,1,Robots need nutrients,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.6111,,,j,1,1.9545,,0,56,56,121,1,Jupiter is the planet we live on,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4582,,,f,1,1.3886,,0,57,57,99,1,A motorcycle is a vehicle,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.5379,,,f,1,2.1479,,0,58,58,29,1,Space can go on forever,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.5023,,,f,1,1.1961,,0,59,59,51,1,Tigers reproduce,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3524,,,j,1,1.6588,,0,60,60,41,1,The number five is infinite,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3587,,,j,1,1.6247,,0,61,61,13,1,An inch can go on forever,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3628,,,f,1,2.4482,,0,62,62,40,1,The number five is finite,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4704,,,j,1,2.0133,,0,63,63,87,1,Dreams have a molecular structure,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.6372,,,j,1,1.5482,,0,64,64,43,1,The number five is endless,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3483,,,f,1,1.2491,,0,65,65,27,1,Space is endless,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3648,,,j,0,1.4484,,0,66,66,44,1,The number five cannot go on forever,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3173,,,j,1,1.6855,,0,67,67,80,1,Mittens need nutrients,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2686,,,f,1,1.5323,,0,68,68,57,1,Rocks have a molecular structure,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3078,,,f,1,1.2123,,0,69,69,93,1,Magenta is a color,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3374,,,f,1,2.346,,0,70,70,98,1,A clock is used to tell time,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.296,,,j,0,1.6687,,0,71,71,72,1,Mushrooms reproduce,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3166,,,f,1,1.8326,,0,72,72,10,1,An inch has an end,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3178,,,j,1,1.6444,,0,73,73,5,1,A minute can go on forever,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2863,,,j,1,1.1675,,0,74,74,81,1,Tables reproduce,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.2282,,,j,1,1.1864,,0,75,75,58,1,Clocks are alive,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.4259,,,f,1,2.2023,,0,76,76,23,1,Time can always be further divided,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3632,,,j,1,1.9457,,0,77,77,115,1,Yellow is an animal,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3764,,,f,1,1.7252,,0,78,78,49,1,Pelicans are alive,f,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,0.3005,,,j,1,1.8091,,0,79,79,116,1,Fish cannot swim in the ocean,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,space,,,,,,,,1.1889,,,j,1,1.6213,,0,80,80,30,1,Space cannot always be further divided,j,,
,,,,,,,,8196,2022-04-06_19h04.48.042,ImplicitInfinitySC-FASTTASK,2021.2.3,Win32,64,,,,,,,,,,,,,,,,,,,,,,,,,,,
